INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2021-10-01T10:00:00-00:00,2021-10-01T11:00:00-00:00,2021-10-01,4,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,57.5668,1
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,2021-10-01,24,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,64.98204,1
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,2021-10-01,10,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,55.1282,1
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,56.66242,1
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,59.73807,1
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,2021-10-01,8,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,69.08668,1
2021-10-01T15:00:00-00:00,2021-10-01T16:00:00-00:00,2021-10-01,9,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,59.73647,1
2021-10-01T19:00:00-00:00,2021-10-01T20:00:00-00:00,2021-10-01,13,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,62.98045,1
2021-10-02T01:00:00-00:00,2021-10-02T02:00:00-00:00,2021-10-01,19,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,148.95084,1
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,62.91287,1
2021-10-02T02:00:00-00:00,2021-10-02T03:00:00-00:00,2021-10-01,20,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,99.36732,1
2021-10-01T20:00:00-00:00,2021-10-01T21:00:00-00:00,2021-10-01,14,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,84.74126,1
2021-10-01T23:00:00-00:00,2021-10-02T00:00:00-00:00,2021-10-01,17,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,76.999,1
2021-10-02T00:00:00-00:00,2021-10-02T01:00:00-00:00,2021-10-01,18,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,105.40913,1
2021-10-01T09:00:00-00:00,2021-10-01T10:00:00-00:00,2021-10-01,3,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,58.91873,1
2021-10-01T18:00:00-00:00,2021-10-01T19:00:00-00:00,2021-10-01,12,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,60.55156,1
2021-10-01T22:00:00-00:00,2021-10-01T23:00:00-00:00,2021-10-01,16,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,69.06703,1
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,82.39964,1
2021-10-01T21:00:00-00:00,2021-10-01T22:00:00-00:00,2021-10-01,15,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,69.3199,1
2021-10-01T07:00:00-00:00,2021-10-01T08:00:00-00:00,2021-10-01,1,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,63.70676,1
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,60.07043,1
2021-10-01T13:00:00-00:00,2021-10-01T14:00:00-00:00,2021-10-01,7,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,70.10482,1
2021-10-02T04:00:00-00:00,2021-10-02T05:00:00-00:00,2021-10-01,22,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,79.70175,1
2021-10-02T05:00:00-00:00,2021-10-02T06:00:00-00:00,2021-10-01,23,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,70.40536,1
2021-10-01T16:00:00-00:00,2021-10-01T17:00:00-00:00,2021-10-01,10,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0.5396,2
2021-10-01T22:00:00-00:00,2021-10-01T23:00:00-00:00,2021-10-01,16,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,1.34876,2
2021-10-01T08:00:00-00:00,2021-10-01T09:00:00-00:00,2021-10-01,2,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2021-10-02T03:00:00-00:00,2021-10-02T04:00:00-00:00,2021-10-01,21,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2021-10-01T17:00:00-00:00,2021-10-01T18:00:00-00:00,2021-10-01,11,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,5.48865,2
2021-10-01T12:00:00-00:00,2021-10-01T13:00:00-00:00,2021-10-01,6,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2021-10-01T14:00:00-00:00,2021-10-01T15:00:00-00:00,2021-10-01,8,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2021-10-02T06:00:00-00:00,2021-10-02T07:00:00-00:00,2021-10-01,24,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2021-10-01T11:00:00-00:00,2021-10-01T12:00:00-00:00,2021-10-01,5,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
