INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-09-01T07:00:00-00:00,2022-09-01T08:00:00-00:00,2022-09-01,1,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,145.88211,1
2022-09-01T09:00:00-00:00,2022-09-01T10:00:00-00:00,2022-09-01,3,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,125.5506,1
2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,2022-09-01,21,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,443.77814,1
2022-09-01T08:00:00-00:00,2022-09-01T09:00:00-00:00,2022-09-01,2,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,130.55486,1
2022-09-01T12:00:00-00:00,2022-09-01T13:00:00-00:00,2022-09-01,6,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,124.64251,1
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,162.31453,1
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,832.08765,1
2022-09-01T14:00:00-00:00,2022-09-01T15:00:00-00:00,2022-09-01,8,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,131.27795,1
2022-09-02T05:00:00-00:00,2022-09-02T06:00:00-00:00,2022-09-01,23,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,168.04567,1
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,144.6955,1
2022-09-02T06:00:00-00:00,2022-09-02T07:00:00-00:00,2022-09-01,24,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,144.94933,1
2022-09-01T17:00:00-00:00,2022-09-01T18:00:00-00:00,2022-09-01,11,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,119.20734,1
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,138.01299,1
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,395.4843,1
2022-09-01T11:00:00-00:00,2022-09-01T12:00:00-00:00,2022-09-01,5,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,123.9251,1
2022-09-02T04:00:00-00:00,2022-09-02T05:00:00-00:00,2022-09-01,22,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,209.82172,1
2022-09-01T16:00:00-00:00,2022-09-01T17:00:00-00:00,2022-09-01,10,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,109.81088,1
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,191.4197,1
2022-09-01T15:00:00-00:00,2022-09-01T16:00:00-00:00,2022-09-01,9,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,107.61167,1
2022-09-01T10:00:00-00:00,2022-09-01T11:00:00-00:00,2022-09-01,4,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,123.79252,1
2022-09-01T13:00:00-00:00,2022-09-01T14:00:00-00:00,2022-09-01,7,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,151.87263,1
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,241.31049,1
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,291.50946,1
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,LMP,LMP_PRC,SLAP_PGSF-APND,ALL_APNODES,0,837.9457,1
2022-09-01T22:00:00-00:00,2022-09-01T23:00:00-00:00,2022-09-01,16,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,-13.37162,2
2022-09-02T06:00:00-00:00,2022-09-02T07:00:00-00:00,2022-09-01,24,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T15:00:00-00:00,2022-09-01T16:00:00-00:00,2022-09-01,9,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-02T05:00:00-00:00,2022-09-02T06:00:00-00:00,2022-09-01,23,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T16:00:00-00:00,2022-09-01T17:00:00-00:00,2022-09-01,10,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T18:00:00-00:00,2022-09-01T19:00:00-00:00,2022-09-01,12,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,-7.97785,2
2022-09-01T20:00:00-00:00,2022-09-01T21:00:00-00:00,2022-09-01,14,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,-23.52651,2
2022-09-02T01:00:00-00:00,2022-09-02T02:00:00-00:00,2022-09-01,19,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-02T00:00:00-00:00,2022-09-02T01:00:00-00:00,2022-09-01,18,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T09:00:00-00:00,2022-09-01T10:00:00-00:00,2022-09-01,3,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T13:00:00-00:00,2022-09-01T14:00:00-00:00,2022-09-01,7,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-02T02:00:00-00:00,2022-09-02T03:00:00-00:00,2022-09-01,20,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T07:00:00-00:00,2022-09-01T08:00:00-00:00,2022-09-01,1,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T11:00:00-00:00,2022-09-01T12:00:00-00:00,2022-09-01,5,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T23:00:00-00:00,2022-09-02T00:00:00-00:00,2022-09-01,17,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T10:00:00-00:00,2022-09-01T11:00:00-00:00,2022-09-01,4,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-02T03:00:00-00:00,2022-09-02T04:00:00-00:00,2022-09-01,21,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T17:00:00-00:00,2022-09-01T18:00:00-00:00,2022-09-01,11,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,-14.48116,2
2022-09-01T21:00:00-00:00,2022-09-01T22:00:00-00:00,2022-09-01,15,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,-13.58049,2
2022-09-01T12:00:00-00:00,2022-09-01T13:00:00-00:00,2022-09-01,6,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T14:00:00-00:00,2022-09-01T15:00:00-00:00,2022-09-01,8,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-02T04:00:00-00:00,2022-09-02T05:00:00-00:00,2022-09-01,22,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T08:00:00-00:00,2022-09-01T09:00:00-00:00,2022-09-01,2,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCC,LMP_CONG_PRC,SLAP_PGSF-APND,ALL_APNODES,0,0,2
2022-09-01T19:00:00-00:00,2022-09-01T20:00:00-00:00,2022-09-01,13,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCE,LMP_ENE_PRC,SLAP_PGSF-APND,ALL_APNODES,0,155.84163,3
2022-09-01T09:00:00-00:00,2022-09-01T10:00:00-00:00,2022-09-01,3,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCE,LMP_ENE_PRC,SLAP_PGSF-APND,ALL_APNODES,0,128.04753,3
2022-09-01T13:00:00-00:00,2022-09-01T14:00:00-00:00,2022-09-01,7,0,SLAP_PGSF-APND,SLAP_PGSF-APND,SLAP_PGSF-APND,DAM,MCE,LMP_ENE_PRC,SLAP_PGSF-APND,ALL_APNODES,0,154.02905,3
