INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-04-01T10:00:00-00:00,2024-04-01T11:00:00-00:00,1,2024-04-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,996.66,DAM,1
2024-04-02T02:00:00-00:00,2024-04-02T03:00:00-00:00,1,2024-04-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1185.5,DAM,1
2024-04-02T00:00:00-00:00,2024-04-02T01:00:00-00:00,1,2024-04-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1142.67,DAM,1
2024-04-02T05:00:00-00:00,2024-04-02T06:00:00-00:00,1,2024-04-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1037.18,DAM,1
2024-04-01T14:00:00-00:00,2024-04-01T15:00:00-00:00,1,2024-04-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1405.99,DAM,1
2024-04-01T22:00:00-00:00,2024-04-01T23:00:00-00:00,1,2024-04-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1127.62,DAM,1
2024-04-01T23:00:00-00:00,2024-04-02T00:00:00-00:00,1,2024-04-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1129.21,DAM,1
2024-04-02T01:00:00-00:00,2024-04-02T02:00:00-00:00,1,2024-04-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1155.04,DAM,1
2024-04-01T20:00:00-00:00,2024-04-01T21:00:00-00:00,1,2024-04-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1185.74,DAM,1
2024-04-02T04:00:00-00:00,2024-04-02T05:00:00-00:00,1,2024-04-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1122.34,DAM,1
2024-04-01T12:00:00-00:00,2024-04-01T13:00:00-00:00,1,2024-04-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1182.41,DAM,1
2024-04-01T18:00:00-00:00,2024-04-01T19:00:00-00:00,1,2024-04-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1253.82,DAM,1
2024-04-01T13:00:00-00:00,2024-04-01T14:00:00-00:00,1,2024-04-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1332.91,DAM,1
2024-04-01T15:00:00-00:00,2024-04-01T16:00:00-00:00,1,2024-04-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1388.81,DAM,1
2024-04-01T19:00:00-00:00,2024-04-01T20:00:00-00:00,1,2024-04-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1218.37,DAM,1
2024-04-01T21:00:00-00:00,2024-04-01T22:00:00-00:00,1,2024-04-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1154.73,DAM,1
2024-04-01T07:00:00-00:00,2024-04-01T08:00:00-00:00,1,2024-04-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,969.44,DAM,1
2024-04-01T09:00:00-00:00,2024-04-01T10:00:00-00:00,1,2024-04-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,971.13,DAM,1
2024-04-01T08:00:00-00:00,2024-04-01T09:00:00-00:00,1,2024-04-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,963.24,DAM,1
2024-04-01T17:00:00-00:00,2024-04-01T18:00:00-00:00,1,2024-04-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1293.18,DAM,1
2024-04-02T06:00:00-00:00,2024-04-02T07:00:00-00:00,1,2024-04-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,967.29,DAM,1
2024-04-02T03:00:00-00:00,2024-04-02T04:00:00-00:00,1,2024-04-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1185.04,DAM,1
