INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-02-02T07:00:00-00:00,2024-02-02T08:00:00-00:00,1,2024-02-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1106.61,DAM,1
2024-02-01T19:00:00-00:00,2024-02-01T20:00:00-00:00,1,2024-02-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1399.92,DAM,1
2024-02-02T05:00:00-00:00,2024-02-02T06:00:00-00:00,1,2024-02-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1263.92,DAM,1
2024-02-01T12:00:00-00:00,2024-02-01T13:00:00-00:00,1,2024-02-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1090.61,DAM,1
2024-02-01T15:00:00-00:00,2024-02-01T16:00:00-00:00,1,2024-02-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1448,DAM,1
2024-02-01T16:00:00-00:00,2024-02-01T17:00:00-00:00,1,2024-02-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1452.52,DAM,1
2024-02-01T21:00:00-00:00,2024-02-01T22:00:00-00:00,1,2024-02-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1359.56,DAM,1
2024-02-01T22:00:00-00:00,2024-02-01T23:00:00-00:00,1,2024-02-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1344.08,DAM,1
2024-02-02T01:00:00-00:00,2024-02-02T02:00:00-00:00,1,2024-02-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1438.95,DAM,1
2024-02-01T08:00:00-00:00,2024-02-01T09:00:00-00:00,1,2024-02-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1071.43,DAM,1
2024-02-01T10:00:00-00:00,2024-02-01T11:00:00-00:00,1,2024-02-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1035.34,DAM,1
2024-02-01T14:00:00-00:00,2024-02-01T15:00:00-00:00,1,2024-02-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1359.89,DAM,1
2024-02-01T17:00:00-00:00,2024-02-01T18:00:00-00:00,1,2024-02-01,10,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1439.25,DAM,1
2024-02-01T23:00:00-00:00,2024-02-02T00:00:00-00:00,1,2024-02-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1337.45,DAM,1
2024-02-02T03:00:00-00:00,2024-02-02T04:00:00-00:00,1,2024-02-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1381.6,DAM,1
2024-02-02T06:00:00-00:00,2024-02-02T07:00:00-00:00,1,2024-02-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1177.95,DAM,1
2024-02-01T09:00:00-00:00,2024-02-01T10:00:00-00:00,1,2024-02-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1046.74,DAM,1
2024-02-02T00:00:00-00:00,2024-02-02T01:00:00-00:00,1,2024-02-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1375.11,DAM,1
2024-02-01T18:00:00-00:00,2024-02-01T19:00:00-00:00,1,2024-02-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1418.92,DAM,1
2024-02-02T02:00:00-00:00,2024-02-02T03:00:00-00:00,1,2024-02-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1417.64,DAM,1
2024-02-02T04:00:00-00:00,2024-02-02T05:00:00-00:00,1,2024-02-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1337.54,DAM,1
2024-02-01T11:00:00-00:00,2024-02-01T12:00:00-00:00,1,2024-02-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1042.03,DAM,1
2024-02-01T13:00:00-00:00,2024-02-01T14:00:00-00:00,1,2024-02-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1207.99,DAM,1
2024-02-01T20:00:00-00:00,2024-02-01T21:00:00-00:00,1,2024-02-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1380.74,DAM,1
2024-02-01T10:00:00-00:00,2024-02-01T11:00:00-00:00,1,2024-02-01,3,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T14:00:00-00:00,2024-02-01T15:00:00-00:00,1,2024-02-01,7,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T23:00:00-00:00,2024-02-02T00:00:00-00:00,1,2024-02-01,16,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T03:00:00-00:00,2024-02-02T04:00:00-00:00,1,2024-02-01,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T13:00:00-00:00,2024-02-01T14:00:00-00:00,1,2024-02-01,6,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T22:00:00-00:00,2024-02-01T23:00:00-00:00,1,2024-02-01,15,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T08:00:00-00:00,2024-02-01T09:00:00-00:00,1,2024-02-01,1,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T12:00:00-00:00,2024-02-01T13:00:00-00:00,1,2024-02-01,5,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T19:00:00-00:00,2024-02-01T20:00:00-00:00,1,2024-02-01,12,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T16:00:00-00:00,2024-02-01T17:00:00-00:00,1,2024-02-01,9,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T18:00:00-00:00,2024-02-01T19:00:00-00:00,1,2024-02-01,11,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T05:00:00-00:00,2024-02-02T06:00:00-00:00,1,2024-02-01,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T06:00:00-00:00,2024-02-02T07:00:00-00:00,1,2024-02-01,23,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T07:00:00-00:00,2024-02-02T08:00:00-00:00,1,2024-02-01,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T15:00:00-00:00,2024-02-01T16:00:00-00:00,1,2024-02-01,8,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T17:00:00-00:00,2024-02-01T18:00:00-00:00,1,2024-02-01,10,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T00:00:00-00:00,2024-02-02T01:00:00-00:00,1,2024-02-01,17,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T20:00:00-00:00,2024-02-01T21:00:00-00:00,1,2024-02-01,13,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T09:00:00-00:00,2024-02-01T10:00:00-00:00,1,2024-02-01,2,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T11:00:00-00:00,2024-02-01T12:00:00-00:00,1,2024-02-01,4,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T21:00:00-00:00,2024-02-01T22:00:00-00:00,1,2024-02-01,14,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T04:00:00-00:00,2024-02-02T05:00:00-00:00,1,2024-02-01,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T01:00:00-00:00,2024-02-02T02:00:00-00:00,1,2024-02-01,18,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-02T02:00:00-00:00,2024-02-02T03:00:00-00:00,1,2024-02-01,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-02-01T15:00:00-00:00,2024-02-01T16:00:00-00:00,1,2024-02-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3471.71,DAM,3
2024-02-02T01:00:00-00:00,2024-02-02T02:00:00-00:00,1,2024-02-01,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3523.66,DAM,3
2024-02-01T22:00:00-00:00,2024-02-01T23:00:00-00:00,1,2024-02-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3029.11,DAM,3
2024-02-02T03:00:00-00:00,2024-02-02T04:00:00-00:00,1,2024-02-01,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3509.97,DAM,3
2024-02-02T06:00:00-00:00,2024-02-02T07:00:00-00:00,1,2024-02-01,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3023.27,DAM,3
2024-02-02T07:00:00-00:00,2024-02-02T08:00:00-00:00,1,2024-02-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2902.67,DAM,3
2024-02-01T12:00:00-00:00,2024-02-01T13:00:00-00:00,1,2024-02-01,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3074.21,DAM,3
