INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-06-01T20:00:00-00:00,2024-06-01T21:00:00-00:00,1,2024-06-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1051.62,DAM,1
2024-06-01T12:00:00-00:00,2024-06-01T13:00:00-00:00,1,2024-06-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,859.79,DAM,1
2024-06-01T14:00:00-00:00,2024-06-01T15:00:00-00:00,1,2024-06-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,964.26,DAM,1
2024-06-01T09:00:00-00:00,2024-06-01T10:00:00-00:00,1,2024-06-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,833.14,DAM,1
2024-06-01T13:00:00-00:00,2024-06-01T14:00:00-00:00,1,2024-06-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,904.05,DAM,1
2024-06-01T08:00:00-00:00,2024-06-01T09:00:00-00:00,1,2024-06-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,851.28,DAM,1
2024-06-01T07:00:00-00:00,2024-06-01T08:00:00-00:00,1,2024-06-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,882.7,DAM,1
2024-06-02T04:00:00-00:00,2024-06-02T05:00:00-00:00,1,2024-06-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1035.15,DAM,1
2024-06-02T05:00:00-00:00,2024-06-02T06:00:00-00:00,1,2024-06-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,976.85,DAM,1
2024-06-02T03:00:00-00:00,2024-06-02T04:00:00-00:00,1,2024-06-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1049.04,DAM,1
