INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,1,2024-03-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1447.46,DAM,1
2024-03-01T09:00:00-00:00,2024-03-01T10:00:00-00:00,1,2024-03-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1176.68,DAM,1
2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,1,2024-03-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1343.51,DAM,1
2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,1,2024-03-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1552.35,DAM,1
2024-03-02T03:00:00-00:00,2024-03-02T04:00:00-00:00,1,2024-03-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1426.71,DAM,1
2024-03-02T05:00:00-00:00,2024-03-02T06:00:00-00:00,1,2024-03-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1336.22,DAM,1
2024-03-02T07:00:00-00:00,2024-03-02T08:00:00-00:00,1,2024-03-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1217.05,DAM,1
2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,1,2024-03-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1483.27,DAM,1
2024-03-01T15:00:00-00:00,2024-03-01T16:00:00-00:00,1,2024-03-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1555.76,DAM,1
2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,1,2024-03-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1457.5,DAM,1
2024-03-01T20:00:00-00:00,2024-03-01T21:00:00-00:00,1,2024-03-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1422.03,DAM,1
2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,1,2024-03-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1340.58,DAM,1
2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,1,2024-03-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1365.2,DAM,1
2024-03-02T06:00:00-00:00,2024-03-02T07:00:00-00:00,1,2024-03-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1271.7,DAM,1
2024-03-02T04:00:00-00:00,2024-03-02T05:00:00-00:00,1,2024-03-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1391.42,DAM,1
