INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-11-02T04:00:00-00:00,2024-11-02T05:00:00-00:00,1,2024-11-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1151.14,DAM,1
2024-11-02T05:00:00-00:00,2024-11-02T06:00:00-00:00,1,2024-11-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1074.64,DAM,1
2024-11-01T22:00:00-00:00,2024-11-01T23:00:00-00:00,1,2024-11-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1243.63,DAM,1
2024-11-01T20:00:00-00:00,2024-11-01T21:00:00-00:00,1,2024-11-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1287.7,DAM,1
2024-11-01T18:00:00-00:00,2024-11-01T19:00:00-00:00,1,2024-11-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1337.83,DAM,1
2024-11-01T19:00:00-00:00,2024-11-01T20:00:00-00:00,1,2024-11-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1314.84,DAM,1
2024-11-01T21:00:00-00:00,2024-11-01T22:00:00-00:00,1,2024-11-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1260.89,DAM,1
2024-11-01T23:00:00-00:00,2024-11-02T00:00:00-00:00,1,2024-11-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1262.56,DAM,1
2024-11-01T07:00:00-00:00,2024-11-01T08:00:00-00:00,1,2024-11-01,1,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1037,DAM,1
2024-11-01T11:00:00-00:00,2024-11-01T12:00:00-00:00,1,2024-11-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1050.58,DAM,1
